Symbol,NAME,PERCENT,Cumulative,Perpetual,Convertible,Redeemable,Other,Original Call Date,Actual Date Called
LSBDP*,"LSB Industries Inc.,",$3.25,No,No,Yes,No,Convertible Exch Cl C Preferred Stock Series 2,6/15/03,8/27/07
XL-A*,"XL Capital Ltd,",8.00%,No,No,No,No,Series A Preference Ordinary Shares,8/14/07,8/14/07
CEI-A*,"Crescent Real Estate Equities,",6 3/4%,Yes,No,Yes,No,Convertible Cumul Preferred Shares A,2/18/03,8/03/07
CEI-B*,"Crescent Real Estate Equities,",9.50%,Yes,No,No,Yes,Cumul Redeem Preferred Shares B,5/17/07,8/03/07
MLS-B*,"Mills Corp.,",9.00%,Yes,No,No,Yes,Series B Cumul Redeem Preferred Stock,10/09/07,8/01/07
MLS-C*,"Mills Corp.,",9.00%,Yes,No,No,Yes,Series C Cumul Redeem Preferred Stock,12/17/07,8/01/07
MLS-E*,"Mills Corp.,",8.75%,Yes,No,No,Yes,Series E Cumul Redeem Preferred Stock,5/05/08,8/01/07
MLSFO*,"Mills Corp.,",6.75%,Yes,No,Yes,Yes,Series F Conv Cumul Redeem Preferred Stock,8/05/09,8/01/07
MLS-G*,"Mills Corp.,",7.875%,Yes,No,No,Yes,Dep Shares Series G Cumul Redeem Preferred Stock,5/17/10,8/01/07
HIH-A*,"Highland Hospitality Corp.,",7.875%,Yes,No,No,Yes,"Series A, Cumul Redeem Preferred Stock",9/28/10,7/17/07
PFV*,"Provident Financial Group Inc.,",8.375%,No,No,No,No,Senior Notes due 7/15/2032,7/15/07,7/15/07
C-G*,"Citigroup, Inc.,",6.213%,Yes,No,No,No,Dep Shares Series G Cumul Preferred Stock,7/11/07,7/11/07
DQU-C*,"Duquesne Light Co.,",4.00%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,7/06/07
TCA-*,"TransCanada PipeLines Ltd,",8.25%,No,No,No,No,Preferred Securities,10/08/03,7/05/07
EKFF*,ML Depositor PreferredPlus,7.05%,No,No,No,No,Morgan Stanley DW Certificates MSD-1,4/01/07,7/02/07
WXH-B*,"Winston Hotels Inc.,",8.00%,Yes,No,No,No,Series B Cumul Preferred Stock,2/24/09,7/01/07
MMREP*,"McMoRan Exploration Co.,",5%,No,No,Yes,No,Convertible Preferred Stock,6/30/07,6/30/07
