Symbol,NAME,PERCENT,Cumulative,Perpetual,Convertible,Redeemable,Other,Original Call Date,Actual Date Called
ENN-A*,"Equity Inns Inc.,",9 1/2%,Yes,No,No,No,Series A Cumulative Preferred Stock,6/25/03,8/11/03
ROM-*,"Rio Algom Ltd,",9 3/8%,No,No,No,No,COPRS Preferred Securities,8/07/03,8/07/03
PPA-A*,"Premier Bancorp Inc.,",9.25%,No,Yes,No,No,Series A Non-cumul Perp Preferred Stock,6/13/07,8/01/03
CBSAO*,"Coastal Bancorp Inc.,",9.12%,Yes,No,No,No,Series A Cumul Preferred Stock,5/15/03,7/31/03
AMB-A*,"AMB Property Corp.,",8 1/2%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Stock,7/27/03,7/28/03
DDR-C*,"Developers Diversified Realty,",8 3/8%,No,No,No,No,Dep Shares Preferred Shares Class C,7/07/03,7/28/03
ANB-A*,"Abbey National plc,",8 3/4%,No,No,No,No,Non-cumul Dollar Pref Shares A ADR,11/16/01,7/22/03
SEE-A*,"Sealed Air Corp.,",$2.00,No,No,Yes,No,Series A Convertible Preferred Stock,3/31/03,7/18/03
ALN-D*,"Allen Telecom Inc.,",7.75%,No,No,Yes,No,Series D Convertible Preferred Stock,2/20/05,7/16/03
HCN-B*,"Health Care REIT,",8 7/8%,Yes,No,No,Yes,Series B Cumul Redeem Preferred Stock,5/01/03,7/15/03
TUHUT*,"TXU US Holdings Co.,",$6.98,Yes,No,No,No,Cumulative Preferred Stock,7/01/03,7/15/03
NXTLO*,"Nextel Communications,",13%,No,No,No,No,Series D Exch Preferred Stock,N/A,7/15/03
EGP-A*,"EastGroup Properties Inc.,",9.00%,Yes,No,No,Yes,Cumul Redeem Preferred Stock A,6/19/03,7/07/03
TUE-A*,"TXU US Holdings Co.,",7.50%,Yes,No,No,No,Dep Shares Cumul Preferred Stock A,N/A,7/01/03
TUE-B*,"TXU US Holdings Co.,",7.22%,Yes,No,No,No,Dep Shares Cumul Preferred Stock B,N/A,7/01/03
PKY-A*,"Parkway Properties Inc.,", 8.75%,Yes,No,No,Yes,Cumul Redeem Preferred Stock A,4/23/03,6/30/03
CL-*,"Colgate-Palmolive Co.,",$4.25,Yes,No,No,No,Cumulative Preferred Stock,N/A,6/30/03
AIV-C*,"Apartment Investment &amp; Management,",9.00%,Yes,No,No,No,Class C Cumul Preferred Stock,12/23/02,6/30/03
AJB*,"Appalachian Power Co.,",7.20%,No,No,No,Yes,Redeem Senior Notes due 2038,3/03/03,6/30/03
AJC*,"Appalachian Power Co.,",7.30%,No,No,No,Yes,Redeem Senior Notes due 2038,4/22/03,6/30/03
BPC-A*,"BCP Intl Bank Ltd,",8%,No,No,No,No,Non-cumul Exch Preference Shares Series A,N/A,6/30/03
BVG-C*,"BBVA Privanza Intl (Gibraltar) Ltd,",8.00%,No,No,No,No,Pref Series C ADR,N/A,6/30/03
FBC-P*,"Flagstar Capital Corp.,",8.50%,No,No,No,No,Non-Cumul Exch Preferred Stock Series A,3/01/03,6/30/03
JRL*,"Cincinnati Gas &amp; Electric Co.,",8.28%,No,No,No,No,Jr Subor Defer Int Debs,6/30/00,6/30/03
JYP-Z*,"JCP&amp;L Capital,",8.56%,Yes,No,No,No,Series A Cumul Monthly Income Preferred Securities,5/18/00,6/29/03
SKT-A*,"Tanger Factory Outlet Centers,",$1.575,No,No,Yes,No,Dep Shares Convertible Preferred Shares A,N/A,6/20/03
KIM-A*,"Kimco Realty Corp.,",7 3/4%,Yes,No,No,Yes,Class A Dep Shares Cumul Redeem Preferred Stock,9/23/98,6/09/03
KIM-C*,"Kimco Realty Corp.,",8 3/8%,Yes,No,No,Yes,Class C Dep Shares Cumul Redeem Preferred Stock,4/15/01,6/09/03
PRE-A*,"PartnerRe Ltd,",8%,Yes,No,No,No,Series A Cumulative Preferred Shares,7/10/02,6/09/03
KIM-B*,"Kimco Realty Corp.,",8 1/2%,Yes,No,No,Yes,Class B Dep Shares Cumul Redeem Preferred Stock,7/15/00,6/02/03
BK-D*,"BNY Capital III,",7.05%,No,No,No,No,"Preferred Securities, Series D",3/24/03,6/01/03
BCB-*,"Barclays Bank plc,",8%,No,No,Yes,No,Convertible Capital Notes Series E ADR,4/01/03,6/01/03
IMJ*,"Indiana Michigan Power Co.,",8.00%,No,No,No,No,Jr Sub Defer Int Debs A,3/26/01,5/30/03
IMK*,"Indiana Michigan Power Co.,",7.60%,No,No,No,No,Jr Sub Defer Int Debs,5/07/03,5/30/03
PPCCP*,"People's Preferred Capital Corp.,",9.75%,No,No,No,No,Non-cumul Exch Preferred Stock A,10/15/02,5/15/03
WRI-A*,"Weingarten Realty Investors,",7.44%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Shares,3/31/03,5/05/03
HCP-C*,"Health Care Property Investors,",8.60%,No,No,No,No,Dep Shares Series C Preferred,10/27/02,5/02/03
N-E*,"Inco Ltd,", 5.5%,No,No,Yes,Yes,Convertible Redeem Preferred Shares Series E,8/21/01,5/01/03
HI-M*,"Household Intl Inc.,",5.00%,Yes,No,No,No,Cumulative Preferred Stock,N/A,4/28/03
HI-N*,"Household Intl Inc.,",$4.50,Yes,No,No,No,Cumulative Preferred Stock,N/A,4/28/03
HI-O*,"Household Intl Inc.,",$4.30,Yes,No,No,No,Cumulative Preferred Stock,N/A,4/28/03
PDG-A*,"Placer Dome, Inc.",8 5/8%,No,No,No,No,COPrS Preferred A,12/17/01,4/24/03
ABJ**,"Alabama Power Co.,",7.00%,No,No,No,No,Senior Notes Series C due 3/31/2048,4/23/03,4/23/03
CFBXZ*,"CFB Capital II,",8.20%,Yes,No,No,No,Cumulative Capital Securities,12/15/02,4/04/03
MVLEP*,"Marvel Enterprises Inc.,",8.00%,Yes,No,Yes,No,Cumul Convertible Exch Preferred Stock,N/A,3/31/03
NIC*,"NiSource Capital Markets,",7 3/4%,No,No,No,No,Qrtly Debt Capital Securities,3/31/01,3/31/03
PSA-B**,"Public Storage Inc.,",9.20%,Yes,No,No,No,"Cumulative Preferred Stock, Series B",3/31/03,3/31/03
HI-S*,"Household Intl, Inc.,",7.50%,Yes,No,No,No,Dep Shares Cumul Preferred Stock 2001-A,9/27/06,3/31/03
HI-H*,"Household Intl, Inc.,",7 5/8%,Yes,No,No,No,Dep Shares Cumul Preferred Stock 2002-B,9/17/07,3/31/03
HI-G*,"Household Intl, Inc.,",7.60%,Yes,No,No,No,Dep Shares Cumul Preferred Stock 2002-A,3/25/07,3/31/03
HI-Z*,"Household Intl, Inc.,",8.25%,Yes,No,No,No,Dep Shares Cumul Preferred Stock 1992-A,10/15/02,3/31/03
CFP**,"California Federal Pfd Cap Corp.,",9 1/8%,No,No,No,No,Non-cumul Exch Preferred Stock A,1/31/03,3/27/03
ACA*,"Alabama Power Co.,",7.00%,No,No,No,No,"Senior Qrtly Interest Notes, Series B due 12/31/2047",2/26/03,3/21/03
AVB-D*,"AvalonBay Communities Inc.,",8.00%,Yes,No,No,Yes,Cumul Redeem Preferred Stock D,12/15/02,3/20/03
EKP-*,"Eksportfinans ASA,",8.70%,No,No,No,No,Preferred Capital Securities,3/20/03,3/20/03
ANZ-*,"Australia &amp; New Zealand Banking,",9 1/8%,No,No,No,No,Capital Securities,N/A,3/04/03
BANGM*,"Bangor Hydro-Electric Co.,",4.25%,Yes,No,No,No,Callable Cumul Preferred Stock,N/A,3/01/03
BANGP*,"Bangor Hydro-Electric Co.,",4%,Yes,No,No,No,Cumul Callable Series A Preferred Stock,N/A,3/01/03
GCV-*,"Gabelli Convertible &amp; Income Securities Fund,",8.00%,Yes,No,No,No,Cumulative Preferred Stock,5/15/02,2/11/03
RBS-B*,"Royal Bank of Scotland,",$2.52,No,No,No,No,Non-cumul Dollar Preference Shares Series B ADR,8/23/01,1/30/03
RBS-C*,"Royal Bank of Scotland,",$2.14,No,No,No,No,Non-cumul Dollar Preference Shares Series C ADR,8/27/02,1/30/03
IRNWP*,"iDine Rewards Network, Inc.",12%,No,No,Yes,Yes,Senior Redeem Convertible Preferred A,11/09/02,1/23/03
ALZ*,"Alabama Power Co.,",7 1/8%,No,No,No,No,Senior Notes Series A due 12/1/2047,12/01/02,1/13/03
FSVBP*,"Franklin Finance Corp,",8.70%,No,No,No,No,Non-Cumul Preferred Stock Series A,12/22/02,12/31/02
FBCPP*,"Franklin Finance Corp,",8.70%,No,No,No,No,Non-Cumul Preferred Stock Series A,12/22/02,12/31/02
WGR-*,"Western Gas Resources Inc.,",$2.28,Yes,No,No,No,Cumul Preferred Stock,11/15/97,12/27/02
F-B*,"Ford Motor Co.,",$2.0625,No,No,No,No,Series B Depositary Shares,12/01/02,12/01/02
DRE-F*,"Duke Realty Investments,",8.00%,Yes,No,No,Yes,Dep Shares Cumul Redeem Preferred Shares F,10/10/02,10/10/02
PSA-J*,"Public Storage Inc.,",8.00%,Yes,No,No,No,"Dep Shares Cumul Preferred Stock, Series J",8/31/02,10/07/02
PSA-A***,"Public Storage Inc.,",10.0%,Yes,No,No,No,Cumulative Preferred Stock Series A,9/30/02,9/30/02
IPWEP*,"Interstate Power &amp; Light,",4.80%,Yes,No,No,No,Cumul Preferred Stock,N/A,9/16/02
INPCN*,"Interstate Power &amp; Light,",4.68%,Yes,No,No,No,Cumul Preferred Stock,N/A,9/16/02
INPCO*,"Interstate Power &amp; Light,",7.76%,Yes,No,No,No,Cumul Preferred Stock,N/A,9/16/02
INPCP*,"Interstate Power &amp; Light,",4.36%,Yes,No,No,No,Cumul Preferred Stock,N/A,9/16/02
TRW-B*,"TRW Inc.,",$4.40,Yes,No,Yes,No,Convertible Series 1 Cumul Serial Preference Stock II,N/A,8/30/02
TRW-D*,"TRW Inc.,",$4.50,Yes,No,Yes,No,Convertible Series 3 Cumul Serial Preference Stock II,N/A,8/30/02
SHU-B*,"Shurgard Storage Centers,",8.80%,Yes,No,No,Yes,Cumul Redeem Preferred Stock B,6/30/02,8/19/02
FNM-C*,"Fannie Mae,",6.45%,No,No,No,No,"Non-Cumulative Preferred Stock, Series C",9/20/01,7/31/02
NORWP*,"Northwestern Public Service Co.,",4 1/2%,Yes,No,No,No,Cumul Preferred Stock,N/A,7/31/02
DNFCP*,"D&amp;N Capital Corp.,",9.0%,No,No,No,No,"Non-Cumul Preferred Stock, Series A",7/21/02,7/22/02
CBSAP*,"Coastal Banc ssb,",9.00%,No,No,No,No,Non-Cumul Preferred Stock Series A,12/15/98,7/15/02
AVB-C*,"AvalonBay Communities, Inc.",8.50%,Yes,No,No,Yes,Cumul Redeem Preferred Stock C,6/20/02,7/12/02
CVE-B*,"Cleveland Electric Illuminating,",$7.56,Yes,No,No,No,Series B Cumul Preferred Stock,N/A,7/01/02
OEC-M*,"Ohio Edison Co.,",7.75%,Yes,No,No,No,Class A Cumulative Preferred Stock,N/A,7/01/02
BBV-A*,BBVA Preferred Capital Ltd,7.80%,No,No,No,No,Preferred,N/A,6/30/02
CFBXL*,"CFB Capital I,",8 7/8%,Yes,No,No,No,Cumulative Capital Securities,2/01/02,5/01/02
TPACP*,TCI Pacific Communications,5%,Yes,No,No,No,Cl A Cumul Exch Preferred Stock,N/A,4/26/02
NCEBP*,"North Coast Energy Inc.,",10%,Yes,No,Yes,No,Series B Cumul Convertible Preferred Stock,N/A,4/02/02
NGEGO*,"New York State Electric &amp; Gas,",6.48%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,7/01/98
